"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Apr 02 11:27:42 GMT 2024","Tue Apr 02 11:27:42 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"unknown","Tue Apr 02 11:27:42 GMT 2024","Tue Apr 02 11:27:42 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"failed","Tue Apr 02 11:27:48 GMT 2024","Tue Apr 02 11:27:54 GMT 2024","6006","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Tue Apr 02 11:27:42 GMT 2024","Tue Apr 02 11:27:42 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"passed","Tue Apr 02 11:27:44 GMT 2024","Tue Apr 02 11:27:48 GMT 2024","3159","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Tue Apr 02 11:27:42 GMT 2024","Tue Apr 02 11:27:42 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
