"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Apr 01 13:26:40 GMT 2024","Mon Apr 01 13:26:40 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Mon Apr 01 13:26:40 GMT 2024","Mon Apr 01 13:26:40 GMT 2024","1","Command line suite","Command line test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Mon Apr 01 13:26:42 GMT 2024","Mon Apr 01 13:26:45 GMT 2024","3085","Command line suite","Command line test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Mon Apr 01 13:26:40 GMT 2024","Mon Apr 01 13:26:40 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"unknown","Mon Apr 01 13:26:40 GMT 2024","Mon Apr 01 13:26:40 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
