"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Apr 01 14:36:59 GMT 2024","Mon Apr 01 14:36:59 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Mon Apr 01 14:36:59 GMT 2024","Mon Apr 01 14:36:59 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Mon Apr 01 14:36:59 GMT 2024","Mon Apr 01 14:36:59 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Mon Apr 01 14:36:59 GMT 2024","Mon Apr 01 14:36:59 GMT 2024","2","Command line suite","Command line test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Mon Apr 01 14:37:11 GMT 2024","Mon Apr 01 14:37:15 GMT 2024","4464","Command line suite","Command line test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
