"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Apr 02 11:30:04 GMT 2024","Tue Apr 02 11:30:04 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"skipped","Tue Apr 02 11:30:09 GMT 2024","Tue Apr 02 11:30:09 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Tue Apr 02 11:30:04 GMT 2024","Tue Apr 02 11:30:04 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"skipped","Tue Apr 02 11:30:09 GMT 2024","Tue Apr 02 11:30:09 GMT 2024","1","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"broken","Tue Apr 02 11:30:09 GMT 2024","Tue Apr 02 11:30:09 GMT 2024","0","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","setUp","setUp",""
"unknown","Tue Apr 02 11:30:04 GMT 2024","Tue Apr 02 11:30:04 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"broken","Tue Apr 02 11:30:09 GMT 2024","Tue Apr 02 11:30:09 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","setUp","setUp",""
"unknown","Tue Apr 02 11:30:04 GMT 2024","Tue Apr 02 11:30:04 GMT 2024","1","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
