"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Apr 02 17:57:25 GMT 2024","Tue Apr 02 17:57:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Tue Apr 02 17:57:45 GMT 2024","Tue Apr 02 17:57:45 GMT 2024","0","Surefire suite","Surefire test","ClassTarasTest","ClassTarasTest","openPageTest","openPageTest",""
"unknown","Tue Apr 02 17:57:25 GMT 2024","Tue Apr 02 17:57:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"passed","Tue Apr 02 17:57:41 GMT 2024","Tue Apr 02 17:57:44 GMT 2024","3474","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"failed","Tue Apr 02 17:57:32 GMT 2024","Tue Apr 02 17:57:40 GMT 2024","7552","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Tue Apr 02 17:57:25 GMT 2024","Tue Apr 02 17:57:25 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Tue Apr 02 17:57:25 GMT 2024","Tue Apr 02 17:57:25 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
