"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 18:08:11 GMT 2024","Tue Apr 02 18:08:11 GMT 2024","0","Surefire suite","Surefire test","ClassTarasTest","ClassTarasTest","openPageTest","openPageTest",""
"passed","Tue Apr 02 18:08:02 GMT 2024","Tue Apr 02 18:08:09 GMT 2024","7831","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Tue Apr 02 18:07:21 GMT 2024","Tue Apr 02 18:07:21 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Tue Apr 02 18:07:21 GMT 2024","Tue Apr 02 18:07:21 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Tue Apr 02 18:07:21 GMT 2024","Tue Apr 02 18:07:21 GMT 2024","0","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"failed","Tue Apr 02 18:08:11 GMT 2024","Tue Apr 02 18:08:19 GMT 2024","8422","Surefire suite","Surefire test","GoogleSearchTest","GoogleSearchTest","searchTest","searchTest","Поиск в гугле"
"unknown","Tue Apr 02 18:07:21 GMT 2024","Tue Apr 02 18:07:21 GMT 2024","2","Surefire suite","Surefire test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
