"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Apr 01 13:49:54 GMT 2024","Mon Apr 01 13:49:54 GMT 2024","2","Command line suite","Command line test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"passed","Mon Apr 01 13:49:56 GMT 2024","Mon Apr 01 13:49:59 GMT 2024","3322","Command line suite","Command line test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Mon Apr 01 13:49:54 GMT 2024","Mon Apr 01 13:49:54 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"unknown","Mon Apr 01 13:49:54 GMT 2024","Mon Apr 01 13:49:54 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
"unknown","Mon Apr 01 13:49:54 GMT 2024","Mon Apr 01 13:49:54 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
