"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Apr 01 13:38:24 GMT 2024","Mon Apr 01 13:38:24 GMT 2024","2","Command line suite","Command line test","ExamplesTest","ExamplesTest","alertTest","alertTest",""
"unknown","Mon Apr 01 13:38:24 GMT 2024","Mon Apr 01 13:38:24 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","sliderTest","sliderTest",""
"unknown","Mon Apr 01 13:38:24 GMT 2024","Mon Apr 01 13:38:24 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","networkTest","networkTest",""
"failed","Mon Apr 01 13:38:26 GMT 2024","Mon Apr 01 13:38:28 GMT 2024","2793","Command line suite","Command line test","ExamplesTest","ExamplesTest","textBoxFillTest","textBoxFillTest",""
"unknown","Mon Apr 01 13:38:24 GMT 2024","Mon Apr 01 13:38:24 GMT 2024","0","Command line suite","Command line test","ExamplesTest","ExamplesTest","fillManyTextBoxes","fillManyTextBoxes",""
